日期,累积收益率
2010-06-03,"['600066' '000049' '600406' '002294' '000848' '002304' '000703' '300015'
 '002223' '000559']"
2010-06-04,"['600066' '000049' '600406' '002294' '000848' '300015' '000703' '000811'
 '002304' '000559']"
2010-06-07,"['600066' '000049' '600406' '002294' '300015' '000848' '000811' '000559'
 '002304' '000703']"
2010-06-08,"['600066' '000049' '600406' '002294' '000848' '300015' '002304' '000811'
 '000703' '000559']"
2010-06-09,"['600066' '000049' '002294' '600406' '000848' '002304' '300015' '000559'
 '000811' '000703']"
2010-06-10,"['600066' '000049' '002294' '600406' '300015' '002304' '000848' '002035'
 '000559' '000811']"
2010-06-11,"['600066' '000049' '300015' '600406' '002294' '002304' '000848' '000559'
 '000811' '002035']"
2010-06-17,"['600066' '000049' '300015' '600406' '002294' '002304' '000848' '000811'
 '002035' '000703']"
2010-06-18,"['600066' '000049' '300015' '002294' '600406' '000848' '000811' '002304'
 '000559' '000703']"
2010-06-21,"['600066' '000049' '300015' '002294' '600406' '000848' '002304' '000559'
 '002035' '000811']"
2010-06-22,"['600066' '000049' '600406' '300015' '002294' '002304' '002035' '000559'
 '000811' '600563']"
2010-06-23,"['600066' '000049' '000848' '002035' '600406' '300015' '002294' '000811'
 '002304' '000559']"
2010-06-24,"['600066' '000049' '000848' '002035' '002294' '300015' '600406' '002304'
 '000811' '000559']"
2010-06-25,"['600066' '000049' '000848' '600406' '002294' '000811' '300015' '002035'
 '002304' '002032']"
2010-06-28,"['600066' '000049' '000848' '300015' '600406' '002032' '002294' '002304'
 '002035' '000811']"
2010-06-29,"['600066' '000049' '000848' '300015' '002294' '600406' '002304' '000559'
 '000811' '600563']"
2010-06-30,"['600066' '000049' '300015' '600406' '002304' '000848' '002294' '002032'
 '002081' '600563']"
2010-07-01,"['600066' '000049' '002304' '600406' '300015' '000848' '002294' '000811'
 '002081' '002032']"
2010-07-02,"['600066' '000049' '002304' '600406' '300015' '000848' '002294' '000811'
 '002081' '000559']"
2010-07-05,"['600066' '000049' '002304' '600406' '000848' '300015' '000811' '002081'
 '002236' '000703']"
2010-07-06,"['600066' '000049' '002304' '000848' '300015' '600406' '002294' '002032'
 '002236' '002081']"
2010-07-07,"['600066' '000049' '002304' '000848' '600406' '300015' '000811' '002294'
 '000559' '002032']"
2010-07-08,"['600066' '000049' '002304' '300015' '600406' '002236' '000848' '000811'
 '002294' '000559']"
2010-07-09,"['600066' '000049' '002304' '000848' '300015' '600406' '002236' '002294'
 '000811' '002032']"
2010-07-12,"['600066' '000049' '000848' '002304' '600406' '002035' '300015' '000811'
 '000559' '002294']"
2010-07-13,"['600066' '000049' '002035' '000848' '002304' '600406' '002236' '300015'
 '000811' '000559']"
2010-07-14,"['600066' '000049' '000848' '002035' '002304' '600406' '000811' '002236'
 '300015' '000559']"
2010-07-15,"['600066' '000049' '002304' '000848' '600406' '000811' '002236' '002032'
 '002035' '000790']"
2010-07-16,"['600066' '000049' '002304' '000811' '002236' '002032' '000848' '600406'
 '002035' '300015']"
2010-07-19,"['600066' '000049' '002304' '002035' '000811' '002236' '002032' '000848'
 '600406' '300015']"
